OBJECTID;LAU_1;SAV_KODAS;SAV_PAV;SEN_PAV_TR;SEN_UID;SEN_PAV;SEN_KODAS;OSP_ID;OSP_TIPAS;SEN_GYV;SEN_GYV_V;SEN_GYV_M;SEN_PLOTAS;SEN_PLATUM;SEN_ILGUMA;TAIP_NE
1;84;84;Šakių r. sav.;Kriūkų sen.;84 | Kriūkų sen.;Šakių r. sav. | Kriūkų sen.;8435;193;SEN;1454;708;746;100160606;55,01188833;23,34613663;1
2;47;47;Joniškio r. sav.;Skaistgirio sen.;47 | Skaistgirio sen.;Joniškio r. sav. | Skaistgirio sen.;4756;275;SEN;1901;928;973;136148525;56,25625500;23,40241936;0
3;54;54;Kelmės r. sav.;Kelmės sen.;54 | Kelmės sen.;Kelmės r. sav. | Kelmės sen.;5401;288;SEN;7688;3439;4249;8756791;55,63353824;22,94258286;1
4;89;89;Širvintų r. sav.;Musninkų sen.;89 | Musninkų sen.;Širvintų r. sav. | Musninkų sen.;8967;543;SEN;1003;474;529;79311808;54,94750296;24,83121320;0
5;41;41;Vilniaus r. sav.;Buivydžių sen.;41 | Buivydžių sen.;Vilniaus r. sav. | Buivydžių sen.;4107;464;SEN;804;378;426;98041787;54,82251640;25,64237321;1
6;84;84;Šakių r. sav.;Plokščių sen.;84 | Plokščių sen.;Šakių r. sav. | Plokščių sen.;8455;199;SEN;774;365;409;95856646;55,03801943;23,15000795;0
7;48;48;Kalvarijos sav.;Kalvarijos sen.;48 | Kalvarijos sen.;Kalvarijos sav. | Kalvarijos sen.;4834;1209;SEN;7789;3734;4055;228782822;54,39045760;23,21590961;0
8;41;41;Vilniaus r. sav.;Medininkų sen.;41 | Medininkų sen.;Vilniaus r. sav. | Medininkų sen.;4151;475;SEN;953;469;484;64247773;54,49875671;25,59806616;0
9;19;19;Kauno m. sav.;Centro sen.;19 | Centro sen.;Kauno m. sav. | Centro sen.;1901;1392;SEN;14355;6528;7827;4579772;54,85541849;23,87827885;1
10;19;19;Kauno m. sav.;Dainavos sen.;19 | Dainavos sen.;Kauno m. sav. | Dainavos sen.;1904;1395;SEN;53053;23069;29984;5237450;54,92031765;23,95059830;1
11;86;86;Švenčionių r. sav.;Pabradės sen.;86 | Pabradės sen.;Švenčionių r. sav. | Pabradės sen.;8644;530;SEN;6257;2913;3344;362856284;54,99187557;25,78086384;1
12;48;48;Kalvarijos sav.;Liubavo sen.;48 | Liubavo sen.;Kalvarijos sav. | Liubavo sen.;4839;1208;SEN;576;273;303;74241379;54,32414298;23,08013353;0
13;13;13;Vilniaus m. sav.;Justiniškių sen.;13 | Justiniškių sen.;Vilniaus m. sav. | Justiniškių sen.;1303;1494;SEN;25956;11731;14225;2977001;54,70688338;25,18117872;1
14;13;13;Vilniaus m. sav.;Šnipiškių sen.;13 | Šnipiškių sen.;Vilniaus m. sav. | Šnipiškių sen.;1316;1507;SEN;16477;7488;8989;3110924;54,70159996;25,27741890;1
15;84;84;Šakių r. sav.;Kidulių sen.;84 | Kidulių sen.;Šakių r. sav. | Kidulių sen.;8430;192;SEN;1809;882;927;112233191;55,01423372;22,83752419;1
16;41;41;Vilniaus r. sav.;Dūkštų sen.;41 | Dūkštų sen.;Vilniaus r. sav. | Dūkštų sen.;4128;469;SEN;1808;915;893;89689789;54,81233673;24,95855026;1
17;13;13;Vilniaus m. sav.;Pašilaičių sen.;13 | Pašilaičių sen.;Vilniaus m. sav. | Pašilaičių sen.;1310;1501;SEN;40384;18838;21546;7932764;54,73864131;25,21076012;0
18;13;13;Vilniaus m. sav.;Viršuliškių sen.;13 | Viršuliškių sen.;Vilniaus m. sav. | Viršuliškių sen.;1318;1509;SEN;13877;6132;7745;2542841;54,66708372;25,19320707;1
